max_denom,mp_diff,extrm_diff,mp_ratio1_num,mp_ratio1_denom,mp_ratio2_num,mp_ratio2_denom
5,0.09999999999999998,0.04999999999999999,2,5,2,4
6,0.06666666666666671,0.033333333333333354,2,6,2,5
7,0.028571428571428525,0.023809523809523808,2,5,3,7
8,0.025000000000000022,0.01785714285714285,3,8,2,5
9,0.015873015873015872,0.013888888888888895,3,7,4,9
10,0.01428571428571429,0.0111111111111111,2,7,3,10
11,0.01010101010101011,0.009090909090909094,4,9,5,11
12,0.01010101010101011,0.007575757575757583,4,9,5,11
13,0.006993006993007034,0.006410256410256401,5,11,6,13
14,0.006493506493506496,0.005494505494505503,5,14,4,11
15,0.00512820512820511,0.004761904761904759,6,13,7,15
16,0.004807692307692291,0.004166666666666666,4,13,5,16
17,0.0039215686274509665,0.003676470588235295,7,15,8,17
18,0.0039215686274509665,0.0032679738562091526,7,15,8,17
19,0.0030959752321981227,0.0029239766081871343,8,17,9,19
20,0.0029411764705882804,0.0026315789473684154,7,20,6,17
21,0.002506265664160401,0.0023809523809523864,9,19,10,21
22,0.002392344497607668,0.0021645021645021606,6,19,7,22
23,0.0020703933747412417,0.0019762845849802396,10,21,11,23
24,0.0020703933747412417,0.0018115942028985518,10,21,11,23
25,0.0017391304347825765,0.0016666666666666635,11,23,12,25
26,0.0016722408026755842,0.0015384615384615372,9,26,8,23
27,0.0014814814814814725,0.0014245014245014287,12,25,13,27
28,0.0014285714285714457,0.0013227513227513227,8,25,9,28
29,0.0012771392081737387,0.0012315270935960576,13,27,14,29
30,0.0012771392081737387,0.0011494252873563218,13,27,14,29
31,0.0011123470522803047,0.0010752688172043015,14,29,15,31
32,0.0010775862068965747,0.0010080645161290314,11,32,10,29
33,0.0009775171065493637,0.0009469696969696961,15,31,16,33
34,0.000948766603415585,0.0008912655971479513,10,31,11,34
35,0.0008658008658008476,0.000840336134453782,16,33,17,35
36,0.0008658008658008476,0.0007936507936507943,16,33,17,35
37,0.000772200772200804,0.0007507507507507477,17,35,18,37
38,0.0007518796992481147,0.0007112375533428195,13,38,12,35
39,0.000693000693000656,0.0006747638326585689,18,37,19,39
40,0.0006756756756756688,0.0006410256410256387,12,37,13,40
41,0.0006253908692933074,0.0006097560975609762,19,39,20,41
42,0.0006253908692933074,0.000580720092915217,19,39,20,41
43,0.0005672149744753163,0.0005537098560354364,20,41,21,43
44,0.0005543237250554833,0.0005285412262156439,15,44,14,41
45,0.0005167958656330796,0.0005050505050505048,21,43,22,45
46,0.0005055611729019027,0.000483091787439615,14,43,15,46
47,0.00047281323877068626,0.00046253469010175755,22,45,23,47
48,0.00047281323877068626,0.00044326241134751837,22,45,23,47
49,0.00043421623968736833,0.00042517006802721136,23,47,24,49
50,0.00042553191489358433,0.0004081632653061204,17,50,16,47
51,0.0004001600640256009,0.00039215686274509873,24,49,25,51
52,0.0003924646781789942,0.00037707390648566985,16,49,17,52
53,0.00036995930447653036,0.00036284470246734576,25,51,26,53
54,0.00036995930447653036,0.0003494060097833686,25,51,26,53
55,0.00034305317324184736,0.00033670033670033656,26,53,27,55
56,0.0003369272237196408,0.0003246753246753248,19,56,18,53
57,0.00031897926634766316,0.0003132832080200501,27,55,28,57
58,0.00031347962382444194,0.0003024803387779787,18,55,19,58
59,0.0002973535533750127,0.00029222676797194605,28,57,29,59
60,0.0002973535533750127,0.00028248587570621486,28,57,29,59
61,0.00027785495971099916,0.0002732240437158459,29,59,30,61
62,0.00027337342810279663,0.00026441036488630484,21,62,20,59
63,0.0002602133749674551,0.00025601638504864355,30,61,31,63
64,0.00025614754098363113,0.00024801587301587213,20,61,21,64
65,0.00024420024420029884,0.00024038461538461453,31,63,32,65
66,0.00024420024420029884,0.00023310023310023353,31,63,32,65
67,0.00022962112514346433,0.000226142017186794,32,65,33,67
68,0.0002262443438914019,0.00021949078138718166,23,68,22,65
69,0.00021630975557002108,0.0002131287297527703,33,67,34,69
70,0.0002132196162046851,0.0002070393374741207,22,67,23,70
71,0.0002041232904674284,0.00020120724346076382,34,69,35,71
72,0.0002041232904674284,0.00019561815336463333,34,69,35,71
73,0.00019293845263357312,0.0001902587519025875,35,71,36,73
74,0.00019033117624667195,0.00018511662347278635,25,74,24,71
75,0.00018264840182652398,0.00018018018018018007,36,73,37,75
76,0.00018024513338144033,0.00017543859649122966,24,73,25,76
77,0.00017316017316015841,0.00017088174982911666,37,75,38,77
78,0.00017316017316015841,0.0001665001665001678,37,75,38,77
79,0.00016439256945588454,0.00016228497241155444,38,77,39,79
80,0.00016233766233764158,0.00015822784810126493,27,80,26,77
81,0.0001562744178777442,0.00015432098765432237,39,79,40,81
82,0.00015436863229395525,0.0001505570611261657,26,79,27,82
83,0.00014874312063067885,0.00014692918013517464,40,81,41,83
84,0.00014874312063067885,0.00014343086632243388,40,81,41,83
85,0.00014174344436573838,0.0001400560224089631,41,83,42,85
86,0.00014009526478003798,0.00013679890560875513,29,86,28,83
87,0.0001352265043948475,0.00013365410318096765,42,85,43,87
88,0.00013368983957218195,0.00013061650992685428,28,85,29,88
89,0.00012914890869170081,0.00012768130745658898,43,87,44,89
90,0.00012914890869170081,0.00012484394506866343,43,87,44,89
91,0.00012347203358442638,0.00012210012210012167,44,89,45,91
92,0.0001221299462628167,0.00011944577161968582,31,92,30,89
93,0.00011816140848397438,0.00011687704534829244,45,91,46,93
94,0.00011690437222350303,0.00011439029970258634,30,91,31,94
